partido_id,seleccion_id,jugador_id,posicion,camiseta,seccion,es_capitan
1,16,1346,AR,1,titular,False
1,16,2742,DF,2,titular,False
1,16,1390,DF,14,titular,False
1,16,2743,DF,15,titular,False
1,16,2744,DF,16,titular,False
1,16,2745,MC,3,titular,False
1,16,2746,MC,6,titular,False
1,16,2747,MC,10,titular,True
1,16,1348,MC,12,titular,False
1,16,1350,DL,11,titular,False
1,16,1347,DL,19,titular,False
1,16,2748,DF,4,ingresado,False
1,16,75,DL,9,ingresado,False
1,16,2749,AR,21,suplente_no_jugo,False
1,16,2750,AR,22,suplente_no_jugo,False
1,16,2751,DF,5,suplente_no_jugo,False
1,16,2752,DF,13,suplente_no_jugo,False
1,16,1389,DF,17,suplente_no_jugo,False
1,16,2753,MC,8,suplente_no_jugo,False
1,16,2754,MC,20,suplente_no_jugo,False
1,16,1393,MC,23,suplente_no_jugo,False
1,16,2755,MC,24,suplente_no_jugo,False
1,16,2756,MC,25,suplente_no_jugo,False
1,16,2757,MC,26,suplente_no_jugo,False
1,16,2758,DL,7,suplente_no_jugo,False
1,16,2759,DL,18,suplente_no_jugo,False
1,28,2760,AR,1,titular,False
1,28,2761,DF,2,titular,False
1,28,2762,DF,3,titular,False
1,28,2763,DF,7,titular,False
1,28,2764,DF,17,titular,False
1,28,2765,MC,10,titular,False
1,28,2766,MC,19,titular,False
1,28,1349,MC,20,titular,False
1,28,102,MC,23,titular,False
1,28,2767,DL,11,titular,False
1,28,16,DL,13,titular,True
1,28,2768,MC,5,ingresado,False
1,28,2769,MC,16,ingresado,False
1,28,2770,MC,21,ingresado,False
1,28,2771,DL,26,ingresado,False
1,28,2772,AR,12,suplente_no_jugo,False
1,28,2773,AR,22,suplente_no_jugo,False
1,28,2774,DF,4,suplente_no_jugo,False
1,28,2775,DF,6,suplente_no_jugo,False
1,28,2776,DF,14,suplente_no_jugo,False
1,28,2777,DF,18,suplente_no_jugo,False
1,28,2778,DF,25,suplente_no_jugo,False
1,28,2779,MC,8,suplente_no_jugo,False
1,28,2780,MC,9,suplente_no_jugo,False
1,28,2781,MC,15,suplente_no_jugo,False
1,28,2782,DL,24,suplente_no_jugo,False
2,46,2783,AR,1,titular,False
2,46,2784,DF,3,titular,False
2,46,186,DF,5,titular,False
2,46,234,DF,6,titular,False
2,46,237,DF,12,titular,False
2,46,2785,MC,4,titular,False
2,46,2786,MC,19,titular,False
2,46,41,MC,22,titular,False
2,46,18,DL,9,titular,True
2,46,43,DL,10,titular,False
2,46,42,DL,17,titular,False
2,46,2639,DF,15,ingresado,False
2,46,104,MC,20,ingresado,False
2,46,46,DL,7,ingresado,False
2,46,45,DL,11,ingresado,False
2,46,2787,DL,24,ingresado,False
2,46,2788,AR,13,suplente_no_jugo,False
2,46,2789,AR,23,suplente_no_jugo,False
2,46,1595,DF,2,suplente_no_jugo,False
2,46,2790,DF,16,suplente_no_jugo,False
2,46,2791,DF,18,suplente_no_jugo,False
2,46,2792,DF,21,suplente_no_jugo,False
2,46,132,MC,8,suplente_no_jugo,False
2,46,2793,MC,14,suplente_no_jugo,False
2,46,2794,MC,25,suplente_no_jugo,False
2,46,2795,MC,26,suplente_no_jugo,False
2,50,2796,AR,1,titular,False
2,50,2797,DF,2,titular,False
2,50,2798,DF,3,titular,True
2,50,2799,DF,5,titular,False
2,50,1352,DF,8,titular,False
2,50,71,DF,15,titular,False
2,50,1436,DF,19,titular,False
2,50,1351,MC,7,titular,False
2,50,2800,MC,18,titular,False
2,50,2801,MC,21,titular,False
2,50,44,DL,9,titular,False
2,50,2802,AR,24,ingresado,False
2,50,1437,DF,13,ingresado,False
2,50,2803,MC,6,ingresado,False
2,50,2804,MC,16,ingresado,False
2,50,2805,MC,17,ingresado,False
2,50,2806,DL,20,ingresado,False
2,50,2807,AR,12,suplente_no_jugo,False
2,50,2808,AR,22,suplente_no_jugo,False
2,50,2809,DF,4,suplente_no_jugo,False
2,50,72,DF,23,suplente_no_jugo,False
2,50,1438,DF,25,suplente_no_jugo,False
2,50,1524,MC,11,suplente_no_jugo,False
2,50,2810,MC,14,suplente_no_jugo,False
2,50,1501,DL,10,suplente_no_jugo,False
3,73,2811,AR,16,titular,False
3,73,103,DF,3,titular,True
3,73,2812,DF,4,titular,False
3,73,2813,DF,8,titular,False
3,73,1541,DF,21,titular,False
3,73,2814,DF,22,titular,False
3,73,1355,MC,5,titular,False
3,73,1354,MC,6,titular,False
3,73,2815,MC,15,titular,False
3,73,73,DL,9,titular,False
3,73,101,DL,18,titular,False
3,73,1391,DF,14,ingresado,False
3,73,2816,MC,26,ingresado,False
3,73,2817,DL,7,ingresado,False
3,73,76,DL,20,ingresado,False
3,73,2818,AR,1,suplente_no_jugo,False
3,73,2819,AR,23,suplente_no_jugo,False
3,73,2820,DF,2,suplente_no_jugo,False
3,73,2821,DF,10,suplente_no_jugo,False
3,73,2822,DF,12,suplente_no_jugo,False
3,73,2823,DF,24,suplente_no_jugo,False
3,73,1392,MC,11,suplente_no_jugo,False
3,73,2824,MC,17,suplente_no_jugo,False
3,73,2825,MC,25,suplente_no_jugo,False
3,73,2826,DL,13,suplente_no_jugo,False
3,73,74,DL,19,suplente_no_jugo,False
3,63,2827,AR,23,titular,False
3,63,1353,DF,3,titular,False
3,63,2625,DF,4,titular,True
3,63,1432,DF,5,titular,False
3,63,128,DF,17,titular,False
3,63,130,DF,22,titular,False
3,63,1478,MC,11,titular,False
3,63,100,MC,21,titular,False
3,63,1481,DL,7,titular,False
3,63,47,DL,8,titular,False
3,63,2828,DL,18,titular,False
3,63,48,MC,14,ingresado,False
3,63,2829,MC,15,ingresado,False
3,63,1469,MC,20,ingresado,False
3,63,127,DL,10,ingresado,False
3,63,2830,AR,1,suplente_no_jugo,False
3,63,2831,AR,13,suplente_no_jugo,False
3,63,1475,DF,2,suplente_no_jugo,False
3,63,245,DF,6,suplente_no_jugo,False
3,63,2832,DF,16,suplente_no_jugo,False
3,63,2833,DF,26,suplente_no_jugo,False
3,63,2834,MC,24,suplente_no_jugo,False
3,63,2835,MC,25,suplente_no_jugo,False
3,63,2626,DL,9,suplente_no_jugo,False
3,63,1483,DL,12,suplente_no_jugo,False
3,63,142,DL,19,suplente_no_jugo,False
4,36,2836,AR,1,titular,False
4,36,1356,DF,2,titular,False
4,36,2837,DF,3,titular,False
4,36,2838,DF,5,titular,False
4,36,1359,DF,13,titular,False
4,36,1435,MC,4,titular,True
4,36,2839,MC,6,titular,False
4,36,1357,MC,8,titular,False
4,36,105,DL,10,titular,False
4,36,49,DL,21,titular,False
4,36,2840,DL,24,titular,False
4,36,2841,DF,22,ingresado,False
4,36,1360,MC,23,ingresado,False
4,36,2842,DL,11,ingresado,False
4,36,2843,DL,16,ingresado,False
4,36,129,DL,19,ingresado,False
4,36,2844,AR,12,suplente_no_jugo,False
4,36,2845,AR,25,suplente_no_jugo,False
4,36,2846,DF,15,suplente_no_jugo,False
4,36,2847,DF,18,suplente_no_jugo,False
4,36,2848,DF,20,suplente_no_jugo,False
4,36,2849,DF,26,suplente_no_jugo,False
4,36,2850,MC,14,suplente_no_jugo,False
4,36,2851,MC,17,suplente_no_jugo,False
4,36,2852,DL,7,suplente_no_jugo,False
4,36,2853,DL,9,suplente_no_jugo,False
4,38,1388,AR,1,titular,False
4,38,2854,DF,3,titular,False
4,38,2855,DF,4,titular,False
4,38,1358,DF,5,titular,False
4,38,1387,DF,6,titular,False
4,38,2856,DF,14,titular,False
4,38,2857,DF,15,titular,False
4,38,2858,MC,8,titular,False
4,38,1434,MC,10,titular,False
4,38,50,DL,11,titular,True
4,38,1433,DL,20,titular,False
4,38,2859,MC,16,ingresado,False
4,38,2860,MC,22,ingresado,False
4,38,2861,DL,9,ingresado,False
4,38,2862,DL,13,ingresado,False
4,38,2863,AR,12,suplente_no_jugo,False
4,38,2864,AR,21,suplente_no_jugo,False
4,38,2865,DF,2,suplente_no_jugo,False
4,38,2866,DF,17,suplente_no_jugo,False
4,38,2867,DF,24,suplente_no_jugo,False
4,38,2868,DF,25,suplente_no_jugo,False
4,38,2869,MC,7,suplente_no_jugo,False
4,38,2870,MC,18,suplente_no_jugo,False
4,38,2871,MC,23,suplente_no_jugo,False
4,38,2872,MC,26,suplente_no_jugo,False
4,38,2873,DL,19,suplente_no_jugo,False
5,5,1495,AR,23,titular,False
5,5,1581,DF,3,titular,False
5,5,1476,DF,13,titular,False
5,5,1480,DF,19,titular,False
5,5,141,DF,26,titular,False
5,5,1479,MC,5,titular,False
5,5,2874,MC,7,titular,False
5,5,2875,MC,17,titular,False
5,5,1,DL,10,titular,True
5,5,150,DL,11,titular,False
5,5,2627,DL,22,titular,False
5,5,1477,DF,25,ingresado,False
5,5,1448,MC,8,ingresado,False
5,5,80,MC,24,ingresado,False
5,5,111,DL,9,ingresado,False
5,5,2876,AR,1,suplente_no_jugo,False
5,5,2877,AR,12,suplente_no_jugo,False
5,5,2878,DF,2,suplente_no_jugo,False
5,5,1404,DF,4,suplente_no_jugo,False
5,5,1482,DF,6,suplente_no_jugo,False
5,5,2879,MC,14,suplente_no_jugo,False
5,5,2880,MC,16,suplente_no_jugo,False
5,5,2881,MC,18,suplente_no_jugo,False
5,5,110,MC,20,suplente_no_jugo,False
5,5,2882,DL,15,suplente_no_jugo,False
5,5,2630,DL,21,suplente_no_jugo,False
5,3,1365,AR,21,titular,False
5,3,1362,DF,5,titular,False
5,3,1363,DF,12,titular,False
5,3,2883,DF,13,titular,False
5,3,1445,DF,17,titular,False
5,3,197,MC,7,titular,True
5,3,1361,MC,8,titular,False
5,3,2884,MC,23,titular,False
5,3,2885,DL,9,titular,False
5,3,52,DL,10,titular,False
5,3,51,DL,11,titular,False
5,3,2886,DF,2,ingresado,False
5,3,1400,DF,4,ingresado,False
5,3,2887,DF,6,ingresado,False
5,3,1364,MC,18,ingresado,False
5,3,2888,DL,25,ingresado,False
5,3,2889,AR,1,suplente_no_jugo,False
5,3,2890,AR,22,suplente_no_jugo,False
5,3,1446,DF,3,suplente_no_jugo,False
5,3,2891,MC,14,suplente_no_jugo,False
5,3,1444,MC,15,suplente_no_jugo,False
5,3,2892,MC,16,suplente_no_jugo,False
5,3,2893,MC,24,suplente_no_jugo,False
5,3,2894,MC,26,suplente_no_jugo,False
5,3,1447,DL,19,suplente_no_jugo,False
5,3,2895,DL,20,suplente_no_jugo,False
6,27,2896,AR,1,titular,False
6,27,2897,DF,2,titular,False
6,27,1716,DF,4,titular,True
6,27,2898,DF,5,titular,False
6,27,79,DF,6,titular,False
6,27,1366,DF,13,titular,False
6,27,2899,MC,8,titular,False
6,27,176,MC,10,titular,False
6,27,2900,MC,11,titular,False
6,27,2901,MC,23,titular,False
6,27,2902,DL,12,titular,False
6,27,1367,MC,7,ingresado,False
6,27,2903,MC,14,ingresado,False
6,27,2904,MC,25,ingresado,False
6,27,1401,DL,21,ingresado,False
6,27,2905,AR,16,suplente_no_jugo,False
6,27,2906,AR,22,suplente_no_jugo,False
6,27,2907,DF,3,suplente_no_jugo,False
6,27,2908,DF,17,suplente_no_jugo,False
6,27,2909,DF,18,suplente_no_jugo,False
6,27,2910,DF,26,suplente_no_jugo,False
6,27,2911,MC,15,suplente_no_jugo,False
6,27,1441,MC,24,suplente_no_jugo,False
6,27,2912,DL,9,suplente_no_jugo,False
6,27,2913,DL,19,suplente_no_jugo,False
6,27,1527,DL,20,suplente_no_jugo,False
6,81,2914,AR,16,titular,False
6,81,2915,DF,3,titular,False
6,81,2916,DF,4,titular,False
6,81,185,DF,6,titular,False
6,81,2917,DF,20,titular,False
6,81,1395,DF,24,titular,False
6,81,1394,MC,14,titular,False
6,81,2918,MC,17,titular,False
6,81,2919,DL,7,titular,True
6,81,2920,DL,9,titular,False
6,81,2921,DL,25,titular,False
6,81,1442,DF,21,ingresado,False
6,81,2922,MC,8,ingresado,False
6,81,1396,MC,13,ingresado,False
6,81,1368,DL,11,ingresado,False
6,81,2923,DL,23,ingresado,False
6,81,2924,AR,1,suplente_no_jugo,False
6,81,2925,AR,22,suplente_no_jugo,False
6,81,2926,AR,26,suplente_no_jugo,False
6,81,2927,DF,2,suplente_no_jugo,False
6,81,2928,DF,12,suplente_no_jugo,False
6,81,2929,MC,5,suplente_no_jugo,False
6,81,2930,MC,15,suplente_no_jugo,False
6,81,1577,MC,18,suplente_no_jugo,False
6,81,107,DL,10,suplente_no_jugo,False
6,81,2931,DL,19,suplente_no_jugo,False
7,59,22,AR,13,titular,True
7,59,2932,DF,3,titular,False
7,59,1443,DF,4,titular,False
7,59,1370,DF,15,titular,False
7,59,1369,DF,19,titular,False
7,59,1570,DF,23,titular,False
7,59,1406,MC,16,titular,False
7,59,109,MC,24,titular,False
7,59,2933,DL,10,titular,False
7,59,108,DL,20,titular,False
7,59,2690,DL,22,titular,False
7,59,2934,MC,8,ingresado,False
7,59,21,DL,9,ingresado,False
7,59,2935,DL,21,ingresado,False
7,59,2936,AR,1,suplente_no_jugo,False
7,59,2937,AR,12,suplente_no_jugo,False
7,59,1403,DF,2,suplente_no_jugo,False
7,59,2938,DF,5,suplente_no_jugo,False
7,59,2939,DF,6,suplente_no_jugo,False
7,59,2940,DF,26,suplente_no_jugo,False
7,59,2941,MC,7,suplente_no_jugo,False
7,59,1405,MC,14,suplente_no_jugo,False
7,59,297,MC,18,suplente_no_jugo,False
7,59,2942,DL,11,suplente_no_jugo,False
7,59,2943,DL,17,suplente_no_jugo,False
7,59,1407,DL,25,suplente_no_jugo,False
7,67,2944,AR,1,titular,False
7,67,1398,DF,2,titular,False
7,67,1397,DF,14,titular,False
7,67,2945,DF,15,titular,False
7,67,1470,DF,18,titular,False
7,67,1449,MC,10,titular,False
7,67,2946,MC,13,titular,False
7,67,2947,MC,19,titular,False
7,67,78,MC,20,titular,False
7,67,2948,MC,21,titular,False
7,67,5,DL,9,titular,True
7,67,2949,MC,6,ingresado,False
7,67,1371,MC,24,ingresado,False
7,67,1399,DL,7,ingresado,False
7,67,2950,AR,12,suplente_no_jugo,False
7,67,2951,AR,22,suplente_no_jugo,False
7,67,2952,DF,3,suplente_no_jugo,False
7,67,2953,DF,4,suplente_no_jugo,False
7,67,218,DF,5,suplente_no_jugo,False
7,67,2954,DF,25,suplente_no_jugo,False
7,67,2955,MC,8,suplente_no_jugo,False
7,67,2956,MC,11,suplente_no_jugo,False
7,67,2957,MC,17,suplente_no_jugo,False
7,67,2958,MC,26,suplente_no_jugo,False
7,67,2959,DL,16,suplente_no_jugo,False
7,67,2960,DL,23,suplente_no_jugo,False
8,37,2961,AR,1,titular,True
8,37,220,DF,2,titular,False
8,37,2962,DF,18,titular,False
8,37,2963,DF,21,titular,False
8,37,2964,DF,24,titular,False
8,37,144,MC,8,titular,False
8,37,54,MC,14,titular,False
8,37,31,DL,7,titular,False
8,37,11,DL,9,titular,False
8,37,3,DL,10,titular,False
8,37,1487,DL,11,titular,False
8,37,1402,DF,5,ingresado,False
8,37,2965,DF,13,ingresado,False
8,37,145,DF,22,ingresado,False
8,37,2631,DL,20,ingresado,False
8,37,1494,DL,26,ingresado,False
8,37,2966,AR,16,suplente_no_jugo,False
8,37,2967,AR,23,suplente_no_jugo,False
8,37,2968,DF,3,suplente_no_jugo,False
8,37,2693,DF,4,suplente_no_jugo,False
8,37,2969,DF,17,suplente_no_jugo,False
8,37,2970,MC,6,suplente_no_jugo,False
8,37,2971,MC,15,suplente_no_jugo,False
8,37,2972,MC,25,suplente_no_jugo,False
8,37,146,DL,12,suplente_no_jugo,False
8,37,13,DL,19,suplente_no_jugo,False
8,6,2973,AR,1,titular,True
8,6,2974,DF,3,titular,False
8,6,2975,DF,4,titular,False
8,6,1439,DF,16,titular,False
8,6,2976,DF,19,titular,False
8,6,1373,MC,13,titular,False
8,6,2977,MC,14,titular,False
8,6,1372,MC,22,titular,False
8,6,106,DL,7,titular,False
8,6,77,DL,15,titular,False
8,6,53,DL,23,titular,False
8,6,1440,DF,2,ingresado,False
8,6,2978,MC,26,ingresado,False
8,6,2979,DL,11,ingresado,False
8,6,2980,DL,21,ingresado,False
8,6,2981,DL,25,ingresado,False
8,6,2982,AR,12,suplente_no_jugo,False
8,6,2983,AR,18,suplente_no_jugo,False
8,6,2984,DF,5,suplente_no_jugo,False
8,6,2985,DF,8,suplente_no_jugo,False
8,6,2986,DF,20,suplente_no_jugo,False
8,6,2987,DF,24,suplente_no_jugo,False
8,6,2988,MC,10,suplente_no_jugo,False
8,6,2989,MC,17,suplente_no_jugo,False
8,6,2990,DL,6,suplente_no_jugo,False
8,6,2991,DL,9,suplente_no_jugo,False
9,58,2992,AR,1,titular,False
9,58,1551,DF,2,titular,False
9,58,2993,DF,3,titular,False
9,58,2994,DF,5,titular,False
9,58,82,DF,6,titular,True
9,58,1374,MC,4,titular,False
9,58,112,MC,7,titular,False
9,58,1492,MC,8,titular,False
9,58,1493,MC,15,titular,False
9,58,1491,MC,17,titular,False
9,58,113,DL,19,titular,False
9,58,2995,DF,25,ingresado,False
9,58,2996,DL,9,ingresado,False
9,58,1413,DL,11,ingresado,False
9,58,2997,DL,16,ingresado,False
9,58,1550,AR,12,suplente_no_jugo,False
9,58,2998,AR,22,suplente_no_jugo,False
9,58,2999,DF,18,suplente_no_jugo,False
9,58,148,DF,20,suplente_no_jugo,False
9,58,2624,DF,24,suplente_no_jugo,False
9,58,3000,MC,10,suplente_no_jugo,False
9,58,3001,MC,13,suplente_no_jugo,False
9,58,83,MC,14,suplente_no_jugo,False
9,58,3002,MC,23,suplente_no_jugo,False
9,58,3003,MC,26,suplente_no_jugo,False
9,58,1489,DL,21,suplente_no_jugo,False
9,24,1490,AR,1,titular,False
9,24,1415,DF,6,titular,False
9,24,3004,DF,19,titular,False
9,24,147,DF,20,titular,False
9,24,3005,DF,22,titular,False
9,24,1471,MC,8,titular,False
9,24,7,MC,10,titular,True
9,24,1485,MC,11,titular,False
9,24,2620,MC,13,titular,False
9,24,134,DL,4,titular,False
9,24,85,DL,9,titular,False
9,24,87,MC,7,ingresado,False
9,24,2622,MC,15,ingresado,False
9,24,86,DL,14,ingresado,False
9,24,149,DL,18,ingresado,False
9,24,3006,AR,12,suplente_no_jugo,False
9,24,3007,AR,23,suplente_no_jugo,False
9,24,3008,DF,2,suplente_no_jugo,False
9,24,1472,DF,3,suplente_no_jugo,False
9,24,3009,DF,5,suplente_no_jugo,False
9,24,232,DF,21,suplente_no_jugo,False
9,24,3010,DF,24,suplente_no_jugo,False
9,24,3011,MC,25,suplente_no_jugo,False
9,24,3012,MC,26,suplente_no_jugo,False
9,24,143,DL,16,suplente_no_jugo,False
9,24,3013,DL,17,suplente_no_jugo,False
10,1,2738,AR,1,titular,True
10,1,3014,DF,2,titular,False
10,1,3015,DF,3,titular,False
10,1,3016,DF,15,titular,False
10,1,3017,DF,23,titular,False
10,1,1419,MC,6,titular,False
10,1,15,MC,13,titular,False
10,1,3018,MC,14,titular,False
10,1,55,MC,21,titular,False
10,1,119,DL,7,titular,False
10,1,116,DL,10,titular,False
10,1,1418,MC,8,ingresado,False
10,1,282,MC,11,ingresado,False
10,1,3019,MC,18,ingresado,False
10,1,88,DL,9,ingresado,False
10,1,3020,DL,26,ingresado,False
10,1,3021,AR,12,suplente_no_jugo,False
10,1,3022,AR,22,suplente_no_jugo,False
10,1,3023,DF,4,suplente_no_jugo,False
10,1,1417,DF,5,suplente_no_jugo,False
10,1,3024,DF,16,suplente_no_jugo,False
10,1,3025,DF,20,suplente_no_jugo,False
10,1,3026,DF,25,suplente_no_jugo,False
10,1,3027,MC,17,suplente_no_jugo,False
10,1,3028,MC,19,suplente_no_jugo,False
10,1,3029,DL,24,suplente_no_jugo,False
10,55,3030,AR,12,titular,False
10,55,1411,DF,4,titular,False
10,55,1789,DF,5,titular,False
10,55,3031,DF,19,titular,False
10,55,1456,DF,22,titular,True
10,55,1412,MC,6,titular,False
10,55,3032,MC,11,titular,False
10,55,3033,MC,14,titular,False
10,55,3034,MC,15,titular,False
10,55,115,MC,17,titular,False
10,55,133,DL,25,titular,False
10,55,3035,DF,16,ingresado,False
10,55,56,MC,8,ingresado,False
10,55,2621,MC,9,ingresado,False
10,55,2619,MC,10,ingresado,False
10,55,57,DL,18,ingresado,False
10,55,1519,AR,1,suplente_no_jugo,False
10,55,3036,AR,23,suplente_no_jugo,False
10,55,1409,DF,2,suplente_no_jugo,False
10,55,1455,DF,3,suplente_no_jugo,False
10,55,3037,DF,26,suplente_no_jugo,False
10,55,1585,MC,7,suplente_no_jugo,False
10,55,3038,MC,13,suplente_no_jugo,False
10,55,3039,MC,24,suplente_no_jugo,False
10,55,3040,DL,20,suplente_no_jugo,False
10,55,3041,DL,21,suplente_no_jugo,False
11,35,3042,AR,23,titular,False
11,35,3043,DF,2,titular,False
11,35,37,DF,18,titular,False
11,35,1473,DF,24,titular,False
11,35,28,MC,5,titular,True
11,35,61,MC,9,titular,False
11,35,3044,MC,16,titular,False
11,35,3045,MC,26,titular,False
11,35,59,DL,10,titular,False
11,35,60,DL,11,titular,False
11,35,58,DL,21,titular,False
11,35,3046,DF,14,ingresado,False
11,35,2633,MC,8,ingresado,False
11,35,62,MC,19,ingresado,False
11,35,63,DL,7,ingresado,False
11,35,3047,DL,12,ingresado,False
11,35,3048,AR,1,suplente_no_jugo,False
11,35,3049,AR,13,suplente_no_jugo,False
11,35,3050,DF,3,suplente_no_jugo,False
11,35,3051,DF,4,suplente_no_jugo,False
11,35,3052,DF,15,suplente_no_jugo,False
11,35,3053,DF,20,suplente_no_jugo,False
11,35,3054,MC,6,suplente_no_jugo,False
11,35,3055,DL,17,suplente_no_jugo,False
11,35,2623,DL,22,suplente_no_jugo,False
11,35,3056,DL,25,suplente_no_jugo,False
11,22,1680,AR,1,titular,True
11,22,81,DF,4,titular,False
11,22,256,DF,6,titular,False
11,22,3057,DF,8,titular,False
11,22,1375,DF,15,titular,False
11,22,3058,DF,16,titular,False
11,22,1410,MC,5,titular,False
11,22,3059,MC,9,titular,False
11,22,117,MC,17,titular,False
11,22,1408,DL,7,titular,False
11,22,255,DL,12,titular,False
11,22,209,DF,19,ingresado,False
11,22,3060,DF,22,ingresado,False
11,22,276,MC,10,ingresado,False
11,22,3061,MC,20,ingresado,False
11,22,3062,MC,26,ingresado,False
11,22,3063,AR,18,suplente_no_jugo,False
11,22,3064,AR,23,suplente_no_jugo,False
11,22,118,DF,3,suplente_no_jugo,False
11,22,3065,MC,2,suplente_no_jugo,False
11,22,3066,MC,13,suplente_no_jugo,False
11,22,3067,MC,14,suplente_no_jugo,False
11,22,3068,MC,21,suplente_no_jugo,False
11,22,3069,MC,24,suplente_no_jugo,False
11,22,3070,MC,25,suplente_no_jugo,False
11,22,3071,DL,11,suplente_no_jugo,False
12,12,2737,AR,1,titular,False
12,12,1589,DF,2,titular,False
12,12,225,DF,5,titular,False
12,12,1450,DF,19,titular,False
12,12,1596,MC,6,titular,False
12,12,230,MC,7,titular,False
12,12,1573,MC,8,titular,False
12,12,3072,MC,21,titular,False
12,12,184,DL,10,titular,True
12,12,1376,DL,11,titular,False
12,12,64,DL,23,titular,False
12,12,238,MC,15,ingresado,False
12,12,1377,MC,18,ingresado,False
12,12,3073,DL,17,ingresado,False
12,12,3074,DL,24,ingresado,False
12,12,3075,AR,12,suplente_no_jugo,False
12,12,3076,AR,13,suplente_no_jugo,False
12,12,3077,DF,3,suplente_no_jugo,False
12,12,3078,DF,4,suplente_no_jugo,False
12,12,3079,DF,26,suplente_no_jugo,False
12,12,3080,MC,16,suplente_no_jugo,False
12,12,3081,MC,20,suplente_no_jugo,False
12,12,169,DL,9,suplente_no_jugo,False
12,12,168,DL,14,suplente_no_jugo,False
12,12,3082,DL,22,suplente_no_jugo,False
12,12,3083,DL,25,suplente_no_jugo,False
12,15,3084,AR,18,titular,False
12,15,1378,DF,2,titular,False
12,15,1416,DF,4,titular,False
12,15,1454,DF,5,titular,False
12,15,3085,DF,22,titular,False
12,15,3086,MC,7,titular,False
12,15,1451,MC,10,titular,False
12,15,3087,MC,13,titular,True
12,15,1414,DL,11,titular,False
12,15,84,DL,19,titular,False
12,15,3088,DL,20,titular,False
12,15,1453,DF,3,ingresado,False
12,15,3089,MC,15,ingresado,False
12,15,1452,MC,21,ingresado,False
12,15,3090,MC,23,ingresado,False
12,15,3091,DL,17,ingresado,False
12,15,3092,AR,1,suplente_no_jugo,False
12,15,3093,AR,16,suplente_no_jugo,False
12,15,3094,DF,25,suplente_no_jugo,False
12,15,3095,DF,26,suplente_no_jugo,False
12,15,3096,MC,6,suplente_no_jugo,False
12,15,3097,MC,8,suplente_no_jugo,False
12,15,3098,MC,14,suplente_no_jugo,False
12,15,3099,MC,24,suplente_no_jugo,False
12,15,3100,DL,9,suplente_no_jugo,False
12,15,3101,DL,12,suplente_no_jugo,False
13,77,3102,AR,1,titular,False
13,77,1461,DF,3,titular,False
13,77,1380,DF,4,titular,False
13,77,140,DF,5,titular,False
13,77,3103,DF,13,titular,False
13,77,126,MC,8,titular,False
13,77,180,MC,10,titular,True
13,77,3104,MC,15,titular,False
13,77,124,MC,23,titular,False
13,77,65,DL,7,titular,False
13,77,1462,DL,17,titular,False
13,77,1474,DF,18,ingresado,False
13,77,3105,MC,20,ingresado,False
13,77,1427,MC,25,ingresado,False
13,77,262,DL,9,ingresado,False
13,77,3106,DL,19,ingresado,False
13,77,3107,AR,12,suplente_no_jugo,False
13,77,3108,AR,21,suplente_no_jugo,False
13,77,3109,AR,24,suplente_no_jugo,False
13,77,3110,DF,2,suplente_no_jugo,False
13,77,3111,DF,11,suplente_no_jugo,False
13,77,1464,DF,22,suplente_no_jugo,False
13,77,1567,MC,6,suplente_no_jugo,False
13,77,3112,MC,14,suplente_no_jugo,False
13,77,3113,MC,16,suplente_no_jugo,False
13,77,3114,MC,26,suplente_no_jugo,False
13,14,3115,AR,23,titular,False
13,14,1420,DF,3,titular,False
13,14,1379,DF,19,titular,False
13,14,89,DF,21,titular,False
13,14,1465,DF,25,titular,False
13,14,3116,MC,8,titular,False
13,14,3117,MC,14,titular,False
13,14,3118,MC,18,titular,False
13,14,3119,DL,12,titular,False
13,14,94,DL,13,titular,True
13,14,3120,DL,20,titular,False
13,14,3121,MC,5,ingresado,False
13,14,3122,MC,7,ingresado,False
13,14,3123,DL,6,ingresado,False
13,14,93,DL,10,ingresado,False
13,14,3124,AR,1,suplente_no_jugo,False
13,14,3125,AR,16,suplente_no_jugo,False
13,14,3126,DF,4,suplente_no_jugo,False
13,14,3127,DF,17,suplente_no_jugo,False
13,14,3128,DF,24,suplente_no_jugo,False
13,14,1467,MC,15,suplente_no_jugo,False
13,14,3129,MC,22,suplente_no_jugo,False
13,14,3130,MC,26,suplente_no_jugo,False
13,14,3131,DL,2,suplente_no_jugo,False
13,14,3132,DL,9,suplente_no_jugo,False
13,14,1421,DL,11,suplente_no_jugo,False
14,83,3133,AR,23,titular,False
14,83,155,DF,2,titular,False
14,83,32,DF,3,titular,True
14,83,1430,DF,16,titular,False
14,83,1381,DF,22,titular,False
14,83,3134,MC,5,titular,False
14,83,1428,MC,6,titular,False
14,83,3135,MC,15,titular,False
14,83,3136,DL,8,titular,False
14,83,175,DL,9,titular,False
14,83,1457,DL,11,titular,False
14,83,3137,DF,13,ingresado,False
14,83,3138,DF,17,ingresado,False
14,83,3139,MC,7,ingresado,False
14,83,36,DL,21,ingresado,False
14,83,1651,AR,1,suplente_no_jugo,False
14,83,3140,AR,12,suplente_no_jugo,False
14,83,3141,DF,4,suplente_no_jugo,False
14,83,1459,DF,19,suplente_no_jugo,False
14,83,3142,DF,26,suplente_no_jugo,False
14,83,120,MC,10,suplente_no_jugo,False
14,83,3143,MC,14,suplente_no_jugo,False
14,83,3144,MC,24,suplente_no_jugo,False
